date_index,count_variable,count,n_pos,pos_ratio
2021-02-01,Date,1778,1,5.624296962879641e-4
2021-02-08,Date,1805,8,0.00443213296398892
2021-02-15,Date,2234,5,0.0022381378692927483
2021-02-22,Date,2159,0,0
2021-03-01,Date,1920,0,0
2021-03-08,Date,1963,1,5.094243504839531e-4
2021-03-15,Date,1928,1,5.186721991701245e-4
2021-03-22,Date,1736,1,5.76036866359447e-4
2021-03-29,Date,1849,0,0
2021-04-05,Date,1882,0,0
2021-04-12,Date,1846,1,5.417118093174431e-4
2021-04-19,Date,1786,0,0
2021-04-26,Date,1706,0,0
2021-05-03,Date,1555,0,0
2021-05-10,Date,1572,0,0
2021-05-17,Date,934,0,0
2021-05-24,Date,6,0,0
2021-05-31,Date,2,0,0
2021-06-14,Date,2,0,0
2021-06-21,Date,1,0,0
2021-06-28,Date,1368,10,0.007309941520467836
2021-07-05,Date,3841,19,0.004946628482166103
2021-07-12,Date,4605,38,0.008251900108577633
2021-07-19,Date,4683,25,0.005338458253256459
2021-07-26,Date,5417,22,0.004061288536090087
2021-08-02,Date,6151,15,0.002438627865387742
2021-08-09,Date,6686,14,0.0020939276099311995
2021-08-16,Date,6508,22,0.003380454824830977
2021-08-23,Date,6525,12,0.0018390804597701149
2021-08-30,Date,4440,8,0.0018018018018018018
2021-09-06,Date,4650,6,0.0012903225806451613
2021-11-29,Date,2118,12,0.0056657223796034
2021-12-06,Date,4382,45,0.010269283432222729
2021-12-13,Date,6120,53,0.008660130718954249
2021-12-20,Date,7182,86,0.011974380395433026
2021-12-27,Date,6873,113,0.01644114651534992
2022-01-03,Date,7361,103,0.013992664040211928
2022-01-10,Date,8124,85,0.010462826193993106
2022-01-17,Date,7421,40,0.005390109149710282
2022-01-24,Date,2253,20,0.00887705281846427
2022-01-31,Date,5135,35,0.006815968841285297
