Days_Since_First_Positive,Test_type,Total_Positive,Total_Tested,Proportion_Positive
-28,antigen,0,1,0
-27,antigen,0,12,0
-26,antigen,0,21,0
-25,antigen,0,17,0
-24,antigen,0,19,0
-23,antigen,0,27,0
-22,antigen,0,42,0
-21,antigen,0,27,0
-20,antigen,0,29,0
-19,antigen,0,61,0
-18,antigen,0,39,0
-17,antigen,0,29,0
-16,antigen,0,72,0
-15,antigen,0,65,0
-14,antigen,0,67,0
-13,antigen,0,88,0
-12,antigen,0,77,0
-11,antigen,0,93,0
-10,antigen,0,90,0
-9,antigen,0,86,0
-8,antigen,0,123,0
-7,antigen,0,105,0
-6,antigen,0,95,0
-5,antigen,0,109,0
-4,antigen,1,140,0.007142857142857143
-3,antigen,1,105,0.009523809523809525
-2,antigen,9,112,0.08035714285714286
-1,antigen,120,270,0.4444444444444444
0,antigen,59,109,0.5412844036697247
1,antigen,3,17,0.17647058823529413
2,antigen,6,19,0.3157894736842105
3,antigen,3,10,0.3
4,antigen,1,14,0.07142857142857142
5,antigen,6,28,0.21428571428571427
6,antigen,10,54,0.18518518518518517
7,antigen,0,54,0
8,antigen,3,59,0.05084745762711865
9,antigen,4,83,0.04819277108433735
10,antigen,0,92,0
11,antigen,1,74,0.013513513513513514
12,antigen,0,62,0
13,antigen,0,55,0
14,antigen,1,48,0.020833333333333332
15,antigen,0,27,0
16,antigen,1,37,0.02702702702702703
17,antigen,1,27,0.037037037037037035
18,antigen,0,13,0
19,antigen,0,16,0
20,antigen,0,12,0
21,antigen,0,12,0
22,antigen,0,4,0
23,antigen,0,8,0
24,antigen,0,3,0
25,antigen,0,2,0
NA,antigen,26,20112,0.0012927605409705648
